Average of duration,Column Labels,,,,,,,,,
Row Labels,CA,DE,FR,GB,IN,JP,KR,MX,US,Grand Total
Autos & Vehicles,2.940509915,1.026345934,0.294205052,49.06944444,1.083333333,0.637992832,1.108333333,0.472222222,42.21614583,8.227619048
Comedy,5.143122184,0.589652449,2.262393359,62.67880795,1.28813065,0.576454668,1.194552529,0.683122847,9.11426092,7.717929388
Education,2.3370333,0.444312796,4.901170351,149.1531729,0.55954323,0.169642857,0.985596708,2.553672316,36.96618357,19.56716629
Entertainment,1.42737077,0.617600735,0.784397596,23.62680842,1.085871582,0.42905189,1.127307305,0.674974039,12.01615817,3.997494319
Film & Animation,6.791747573,1.27020202,2.275382476,38.02211874,1.624849216,2.082854799,2.584545455,0.607087827,40.06439232,12.60804919
Gaming,2.148618372,0.736741214,1.749143249,11.50503356,1.424242424,0.417475728,1.063218391,0.521126761,21.18385093,4.476719678
Howto & Style,0.747384155,0.369054441,1.799237611,12.38952282,0.869822485,0.252195734,1.591397849,0.505882353,6.925084582,3.681192116
Movies,1.833333333,0.5,0.727272727,0,2.25,0,0,0,0,1.6
Music,4.216143738,2.827920709,5.515458692,34.9197468,1.358216693,0.37751938,5.615469007,5.438112199,12.16277632,15.69235695
News & Politics,1.113225729,1.479699761,1.246801706,8.398367347,1.004396865,0.300361011,0.956153133,2.326185835,17.58785686,2.759224889
Nonprofits & Activism,12.02702703,0.4921875,0.307017544,11.56666667,0.485714286,1.722222222,1.090277778,0.722222222,4.385964912,2.328548644
People & Blogs,2.748963162,0.956899432,2.037075901,68.04647984,1.135042081,0.991297671,1.871634136,1.609298332,14.68971963,7.059155188
Pets & Animals,0.989159892,0.38247012,0.41350211,17.64044944,1,0.242560866,5.740136054,0.168674699,6.729347826,4.875029474
Science & Technology,8.477056277,1.074441687,0.920199501,14.67760618,0.849637681,0.696202532,1.669565217,0.74952919,17.17326114,8.724069338
Shows,0.266129032,0.130841121,0.050505051,10.5,0.47804878,,1.175757576,0.333333333,9.719298246,1.421794872
Sports,0.778506375,0.530514706,0.630655586,38.65934066,0.955007257,0.272145669,1.134615385,0.692269574,23.05547653,6.086325225
Trailers,0,16,3.5,0,0,0,1.5,0,0,5.2
Travel & Events,0.841836735,0.333333333,2.773109244,101.6041667,1.25,0.216783217,2.229166667,1.846153846,6.067164179,8.831571995
